Afghanistan,561500.5788067676
Albania,199500.50125313282
Algeria,73000.0
Andorra,29500.0
Angola,46501.07526881721
Antigua and Barbuda,0.0
Argentina,3911000.3260035794
Armenia,668000.5239520958
Australia,44851500.20567874
Austria,102130000.06437874
Azerbaijan,551002.9945553539
Bahamas,0.0
Bahrain,0.0
Bangladesh,195500.38363171354
Barbados,320500.624024961
Belarus,0.0
Belgium,22789000.2621879
Belize,86000.0
Benin,4000.0
Bhutan,16000.0
Bolivia (Plurinational State of),3501000.157097972
Bosnia and Herzegovina,265003.2075471698
Botswana,157500.31746031746
Brazil,145629500.43792638
Brunei Darussalam,1982500.025220681
Bulgaria,1323501.0011333586
Burkina Faso,4500.0
Burundi,84500.0
Cambodia,14500.0
Cameroon,148000.1689189189
Canada,29356500.902696166
Cabo Verde,8000.0
Central African Republic,0.0
Chad,15000.0
Chile,45600000.2872807
China,345010000.48911625
Colombia,2235501.711026616
Comoros,27500.0
Costa Rica,14237500.189640036
Croatia,1081503.120665742
Cuba,119000.0
Cyprus,4861500.246837396
Czechia,16865500.314250987
Denmark,2724001.633627019
Djibouti,0.0
Dominica,0.0
Dominican Republic,300000.0
Democratic Republic of the Congo,115000.21739130435
Ecuador,1292000.193498452
Egypt,91502.73224043715
El Salvador,0.0
Equatorial Guinea,8500.0
Eritrea,0.0
Estonia,911001.0153677277
Eswatini,95000.78947368421
Ethiopia,338000.0
Fiji,39000.0
Finland,1678501.325588323
France,85497500.310243
Gabon,0.0
Gambia,2500.0
Georgia,6764000.181105855
Germany,254836500.16785273
Ghana,77000.0
Greece,49199000.271855116
Grenada,0.0
Guatemala,5963000.352171726
Guinea,6500.0
Guinea-Bissau,3500.0
Guyana,84001.19047619047
Haiti,29500.0
Honduras,876000.1997716895
Hungary,2163500.3813265543
Iceland,277000.18050541513
India,4586000.267117313
Indonesia,5007500.708936595
Iran (Islamic Republic of),5837501.053533191
Iraq,0.0
Ireland,1842500.9905020352
Israel,10302000.332459716
Italy,78701500.50062579
Cote d'Ivoire,147500.16949152542
Jamaica,504501.68483647174
Japan,425595000.3188477
Jordan,0.0
Kazakhstan,1622000.0924784217
Kenya,63000.0
Kiribati,3000.0
Kuwait,628000.0
Kyrgyzstan,74000.0
Lao People's Democratic Republic,28000.0
Latvia,544502.0661157025
Lebanon,2364000.62394247
Lesotho,0.0
Liberia,13000.0
Libya,21000.0
Liechtenstein,47500.0
Lithuania,6560000.243902439
Luxembourg,1841000.1629549158
Madagascar,57001.754385964916
Malawi,75500.0
Malaysia,4425000.141242938
Maldives,14500.0
Mali,143500.0
Malta,343500.3639010189
Marshall Islands,32500.0
Mauritania,1000.0
Mauritius,534500.0
Mexico,54897000.305116855
Micronesia (Federated States of),262000.286259542
Republic of Moldova,7652500.235217249
Monaco,33001.51515151515
Mongolia,18000.0
Montenegro,1385000.2166064982
Morocco,148500.0
Mozambique,197500.6329113924
Myanmar,73500.0
Namibia,167500.0
Nauru,298000.0
Nepal,36000.0
Netherlands,11181500.0
New Zealand,24985000.08304983
Nicaragua,51500.0
Niger,1500.0
Nigeria,89000.0
Democratic People's Republic of Korea,0.0
North Macedonia,324501.7719568567
Norway,950001.8947368421
Oman,0.0
Pakistan,732000.1707650273
Palau,4000.0
Panama,1268000.295741325
Papua New Guinea,35500.0
Paraguay,926001.6198704104
Peru,3506505.5397119634
Philippines,2511504.4893489946
Poland,41530500.20767869
Portugal,4577001.447454665
Qatar,1675500.0298418382
Congo,20000.0
Romania,13675000.360146252
Russian Federation,252370500.1613699
Rwanda,45500.0
Saint Kitts and Nevis,2500.0
Saint Lucia,61000.0
Saint Vincent and the Grenadines,2000.0
Samoa,15000.0
San Marino,117500.0
Sao Tome and Principe,500.0
Saudi Arabia,1407500.9058614564
Senegal,14000.0
Serbia,16911000.29270889
Seychelles,136000.0
Sierra Leone,0.0
Singapore,9269000.0
Slovakia,1767501.513437058
Slovenia,6192000.347222222
Solomon Islands,0.0
Somalia,3000.0
South Africa,6284000.0
Republic of Korea,242791500.07073972
South Sudan,0.0
Spain,23494500.758688204
Sri Lanka,29502.542372881355
Sudan,55509.90990990991
Suriname,223500.6711409396
Sweden,2506002.823224262
Switzerland,3844000.162591051
Syrian Arab Republic,0.0
Tajikistan,0.0
United Republic of Tanzania,131500.0
Thailand,660002.2348484849
Timor-Leste,2000.0
Togo,26500.0
Tonga,16500.0
Trinidad and Tobago,1166500.7715387912
Tunisia,527502.037914692
Turkiye,0.0
Turkmenistan,0.0
Tuvalu,0.0
Uganda,79000.0
Ukraine,27128000.363093484
United Arab Emirates,2331500.0107227108
The United Kingdom,68032501.22992687
United States of America,741795500.545804
Uruguay,796500.2510985562
Uzbekistan,431500.0
Vanuatu,0.0
Venezuela (Bolivarian Republic of),351000.641025641
Viet Nam,286000.0
Yemen,0.0
Zambia,1753500.2281151982
Zimbabwe,978500.3576903424
